Vehicle_ID,Mileage_km,Engine_Temp_C,Oil_Level_%,Brake_Pad_mm,Tire_Pressure_PSI,Battery_Voltage,Last_Service_Days
VEH0042,7747,72,62,11.8,41,14.1,89
VEH0043,128855,106,90,9.3,31,12.3,225
VEH0044,195222,86,53,5.1,36,10.9,273
VEH0045,70725,71,56,1.9,41,14.3,158
VEH0046,134981,71,46,9.5,37,13.8,90
VEH0047,89654,97,74,7.1,28,11.0,224
VEH0048,171845,92,19,5.7,34,14.1,207
VEH0049,124346,106,58,11.0,27,13.9,209
VEH0050,72435,101,64,2.2,33,12.5,34
VEH0051,61886,102,12,6.4,37,12.8,98
VEH0052,71803,70,57,1.1,42,12.1,277
VEH0053,36551,88,64,6.2,39,10.7,152
VEH0054,121216,71,9,1.6,28,11.8,68
VEH0055,16394,113,72,2.3,39,13.6,35
VEH0056,74092,95,10,2.3,26,10.5,56
VEH0057,8890,101,98,8.1,39,11.8,297
VEH0058,46606,75,51,9.2,32,12.1,275
VEH0059,232348,101,59,7.4,32,12.6,25
VEH0060,216110,73,44,11.6,41,14.1,208
VEH0061,92313,80,56,5.1,36,11.9,291
VEH0062,146699,86,20,4.1,43,11.9,95
VEH0063,13792,107,17,10.6,34,13.4,259
VEH0064,244931,93,34,3.5,33,12.3,279
VEH0065,244629,74,23,11.6,29,11.4,126
VEH0066,210041,103,21,1.1,30,12.3,16
VEH0067,179073,75,67,11.7,26,11.0,146
VEH0068,212624,91,23,1.5,37,11.2,185
VEH0069,159969,80,96,10.8,30,12.4,224
VEH0070,73148,85,62,6.8,29,12.1,91
VEH0071,129243,102,59,11.9,25,14.1,232
VEH0072,125174,78,94,1.8,30,11.9,112
VEH0073,159555,75,94,7.1,30,12.8,282
VEH0074,129358,85,66,11.7,40,13.0,23
VEH0075,53555,98,27,6.8,28,10.6,168
VEH0076,22159,72,13,7.9,35,13.1,161
VEH0077,115510,89,16,8.7,33,11.2,117
VEH0078,111530,105,5,6.0,27,14.2,197
VEH0079,85077,88,62,7.9,43,11.1,107
VEH0080,40920,95,5,7.4,32,12.1,140
VEH0081,228139,72,38,10.9,29,10.8,180
VEH0082,203193,88,52,1.5,28,14.4,192
VEH0083,205551,89,93,4.1,30,12.5,48
VEH0084,225547,101,5,11.5,26,12.8,24
VEH0085,24457,76,20,10.8,35,10.8,13
VEH0086,202629,110,65,6.0,28,13.4,219
VEH0087,213261,102,68,7.8,39,11.3,170
VEH0088,245181,109,67,4.1,30,14.0,25
VEH0089,83953,108,73,3.1,41,11.3,117
VEH0090,57995,87,26,6.1,30,11.2,236
VEH0091,176829,109,97,4.9,43,10.6,179
VEH0092,14692,70,71,7.4,26,12.3,43
VEH0093,181830,80,80,1.9,39,12.7,260
VEH0094,208481,97,30,11.7,35,10.8,256
VEH0095,207283,94,20,11.8,32,13.5,278
VEH0096,201769,92,55,8.7,43,12.3,150
VEH0097,42065,100,90,6.9,37,12.5,283
VEH0098,228165,99,61,4.4,36,12.2,105
VEH0099,104299,111,33,10.0,29,12.1,236
VEH0100,168678,104,82,8.5,30,12.7,48
VEH0101,16534,76,96,2.8,28,11.1,38
VEH0102,230735,85,73,11.0,43,11.2,254
VEH0103,45397,95,51,10.0,25,13.9,245
VEH0104,96387,71,98,11.4,41,14.2,194
VEH0105,6016,70,66,9.0,36,12.0,281
VEH0106,225861,81,73,7.7,39,11.6,245
VEH0107,60591,74,80,5.6,25,13.0,248
VEH0108,225884,106,20,11.3,38,12.1,275
VEH0109,28247,101,94,10.5,30,10.6,74
VEH0110,29300,78,94,1.5,29,11.1,186
VEH0111,210137,110,52,1.3,35,13.3,12
VEH0112,87798,104,89,5.1,28,13.1,151
VEH0113,14268,88,43,9.9,37,10.6,167
VEH0114,91807,85,37,11.9,35,11.4,155
VEH0115,17185,72,98,2.7,27,11.4,162
VEH0116,199776,89,27,7.5,25,13.1,202
VEH0117,222851,93,14,5.2,30,10.6,82
VEH0118,175171,102,73,11.7,42,10.9,149
VEH0119,144643,93,38,10.3,34,13.6,196
VEH0120,241584,80,56,10.2,29,11.2,70
VEH0121,43044,77,99,6.2,34,13.0,207
VEH0122,56214,105,14,5.6,36,11.4,20
VEH0123,197300,107,23,4.0,26,10.9,71
VEH0124,119752,109,62,1.6,37,11.4,235
VEH0125,53984,89,5,10.5,32,13.3,162
VEH0126,45774,104,73,9.9,26,13.8,208
VEH0127,7568,94,8,12.0,25,13.7,61
VEH0128,125151,104,20,12.0,29,12.0,269
VEH0129,198664,94,28,7.1,33,13.1,68
VEH0130,203635,98,84,9.5,41,11.3,81
VEH0131,138767,87,6,11.4,33,11.6,157
VEH0132,129375,87,96,10.3,35,14.0,72
VEH0133,184262,71,36,3.7,39,10.6,252
VEH0134,141330,104,95,6.0,30,10.8,116
VEH0135,223610,85,88,2.4,27,11.3,235
VEH0136,44504,110,28,11.5,41,10.6,227
VEH0137,169231,105,16,7.7,29,11.2,250
VEH0138,18986,102,54,3.5,36,12.8,268
VEH0139,66858,73,39,8.4,42,12.1,271
VEH0140,134312,102,37,7.8,38,14.0,14
VEH0141,17666,83,37,4.9,35,13.7,270
VEH0142,43660,90,65,2.2,33,11.8,63
VEH0143,139633,89,55,8.4,26,11.5,56
VEH0144,31854,77,47,6.7,36,12.0,224
VEH0145,69505,76,16,9.5,27,12.8,186
VEH0146,109488,72,71,6.7,27,11.5,18
VEH0147,188323,86,69,10.4,25,12.9,108
VEH0148,27662,102,37,7.1,32,12.1,29
VEH0149,13392,81,44,7.2,32,12.7,250
VEH0150,35535,91,78,10.6,35,12.2,70
VEH0151,214675,91,47,5.4,33,11.6,187
VEH0152,118569,99,48,2.5,29,14.2,71
VEH0153,57256,107,33,1.3,38,13.5,154
VEH0154,94135,107,17,9.3,27,11.0,225
VEH0155,132478,114,16,7.8,29,13.9,12
VEH0156,40222,77,99,8.7,29,12.4,169
VEH0157,82373,96,50,3.3,43,14.0,236
VEH0158,215647,96,6,2.5,38,13.6,278
VEH0159,128684,103,39,1.2,28,12.2,129
VEH0160,232426,90,91,4.9,37,10.6,98
VEH0161,220723,99,85,7.5,34,11.5,77
VEH0162,199407,102,94,5.3,42,12.6,107
VEH0163,15965,97,12,5.8,32,13.0,276
VEH0164,29538,102,97,10.9,32,11.5,114
VEH0165,113066,74,30,4.8,31,11.0,132
VEH0166,206664,88,78,6.7,32,13.8,38
VEH0167,234090,73,94,9.6,38,14.3,146
VEH0168,118252,104,38,5.4,43,12.6,204
VEH0169,144182,86,11,7.8,30,11.2,235
VEH0170,215381,113,72,10.5,25,11.6,179
VEH0171,163338,97,62,11.4,39,10.6,18
VEH0172,189064,99,79,2.6,25,14.1,49
VEH0173,219020,98,33,11.2,41,11.0,34
VEH0174,103806,75,40,6.4,25,12.7,270
VEH0175,142982,104,93,3.8,39,11.6,235
VEH0176,115989,110,25,6.1,26,12.7,133
VEH0177,95982,106,40,11.8,38,13.0,47
VEH0178,126626,93,14,6.4,32,13.7,260
VEH0179,124176,98,77,4.6,32,11.3,185
VEH0180,136278,100,28,8.0,43,10.5,99
VEH0181,223126,104,68,3.6,31,11.0,46
VEH0182,223969,102,53,1.8,43,14.0,185
VEH0183,127409,90,40,2.4,30,13.9,293
VEH0184,28419,101,86,2.4,30,12.8,90
VEH0185,186708,92,28,2.7,27,12.8,123
VEH0186,55015,102,27,2.5,31,13.1,49
VEH0187,127096,72,66,8.0,43,11.2,233
VEH0188,112059,87,41,3.0,32,14.1,124
VEH0189,190340,94,16,4.8,34,12.1,195
VEH0190,115687,111,59,10.9,39,12.0,65
VEH0191,92939,100,17,6.2,39,12.5,49
VEH0192,154213,72,27,8.3,25,10.7,49
VEH0193,216428,109,93,2.9,31,11.1,246
VEH0194,110878,93,34,3.1,28,13.4,298
VEH0195,207982,101,21,1.4,30,10.8,271
VEH0196,192116,91,66,2.9,25,12.9,225
VEH0197,203286,92,88,4.1,29,11.5,156
VEH0198,169899,71,93,2.9,25,12.0,177
VEH0199,191892,96,90,2.0,28,11.6,101
VEH0200,67623,111,17,2.3,26,11.9,68
